Answer from 6656, receive question is How tall is ian, send answer is 180
Answer from 6660, receive question is What do Ian like to do, send answer is sleep
Answer from 6664, receive question is How old is ian, send answer is 22
Answer from 6668, receive question is What do Ian need now, send answer is a computer
Answer from 6672, receive question is What do Ian need now, send answer is a computer
Answer from 6676, receive question is Who is my favorite basketball player, send answer is Kobe Bryant
Answer from 6680, receive question is Who is my favorite basketball player, send answer is Kobe Bryant
Answer from 6685, receive question is Who is my favorite basketball player, send answer is Kobe Bryant
Answer from 6688, receive question is What do Ian like to do, send answer is sleep
Answer from 6692, receive question is Who is my favorite basketball player, send answer is Kobe Bryant
Answer from 6696, receive question is What do Ian need now, send answer is a computer
Answer from 6698, receive question is What do Ian like to do, send answer is sleep
Answer from 6702, receive question is How old is ian, send answer is 22
Answer from 6762, receive question is What do Ian like to do, send answer is sleep
Answer from 6766, receive question is What do Ian like to do, send answer is sleep
Answer from 6768, receive question is What do Ian like to do, send answer is sleep
Answer from 6772, receive question is What do Ian like to do, send answer is sleep
Answer from 6778, receive question is Who is my favorite basketball player, send answer is Kobe Bryant
Answer from 6782, receive question is How tall is ian, send answer is 180
Answer from 6784, receive question is What do Ian like to do, send answer is sleep
Answer from 6790, receive question is Who is my favorite basketball player, send answer is Kobe Bryant
Answer from 6794, receive question is How old is ian, send answer is 22
Answer from 6798, receive question is How old is ian, send answer is 22
Answer from 6800, receive question is What do Ian like to do, send answer is sleep
Answer from 6804, receive question is How old is ian, send answer is 22
Answer from 6810, receive question is Who is my favorite basketball player, send answer is Kobe Bryant
Answer from 6814, receive question is How old is ian, send answer is 22
Answer from 6816, receive question is How old is ian, send answer is 22
Answer from 6820, receive question is How tall is ian, send answer is 180
Answer from 6826, receive question is Who is my favorite basketball player, send answer is Kobe Bryant
Answer from 6830, receive question is How old is ian, send answer is 22
Answer from 6834, receive question is Who is my favorite basketball player, send answer is Kobe Bryant
Answer from 6838, receive question is Who is my favorite basketball player, send answer is Kobe Bryant
Answer from 6842, receive question is Who is my favorite basketball player, send answer is Kobe Bryant
Answer from 6846, receive question is What do Ian need now, send answer is a computer
Answer from 6850, receive question is What do Ian like to do, send answer is sleep
Answer from 6854, receive question is Who is my favorite basketball player, send answer is Kobe Bryant
Answer from 6858, receive question is What do Ian like to do, send answer is sleep
Answer from 6862, receive question is What do Ian like to do, send answer is sleep
Answer from 6866, receive question is What do Ian need now, send answer is a computer
Answer from 6870, receive question is What do Ian need now, send answer is a computer
Answer from 6872, receive question is How old is ian, send answer is 22
